order_id;nome_prodotto;categoria;sottocategoria
ORD000133;Soundbar Wireless;Elettronica;Audio & Video
ORD000134;Borsa Bici Compact;Sport & Tempo Libero;Ciclismo
ORD000134;Torcia Led Compact;Sport & Tempo Libero;Outdoor
ORD000135;Set Pentole Inox;Casa & Arredamento;Cucina
ORD000135;Specchio Vintage;Casa & Arredamento;Arredo
ORD000136;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000136;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000139;Antifurto Bici Mtb;Sport & Tempo Libero;Ciclismo
ORD000139;Borraccia Termica Waterproof;Sport & Tempo Libero;Outdoor
ORD000139;Pellicola Protettiva Air;Elettronica;Smartphone & Accessori
ORD000140;Pigiama Comodo 2;Abbigliamento;Bambino
ORD000140;Soundbar Wireless;Elettronica;Audio & Video
ORD000144;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000144;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000147;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000147;Epilatore Basic;Bellezza & Salute;Cura Persona
ORD000147;Rasoio Elettrico Basic;Bellezza & Salute;Cura Persona
ORD000149;Borraccia Termica Pro 2;Sport & Tempo Libero;Outdoor
ORD000149;Borraccia Termica Waterproof;Sport & Tempo Libero;Outdoor
ORD000151;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000151;Mouse Wireless;Elettronica;Informatica
ORD000151;Smartphone Air;Elettronica;Smartphone & Accessori
ORD000151;Telecamera Surround;Elettronica;Audio & Video
ORD000154;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000154;Giacca Elegante;Abbigliamento;Uomo
ORD000154;Giacca Slim Fit;Abbigliamento;Uomo
ORD000154;Sedia Minimal;Casa & Arredamento;Arredo
ORD000158;Integratore Vitaminico Basic;Bellezza & Salute;Benessere
ORD000158;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000159;Asciugacapelli Travel;Bellezza & Salute;Cura Persona
ORD000159;Epilatore Basic;Bellezza & Salute;Cura Persona
ORD000162;Candela Profumata Boho;Casa & Arredamento;Decorazione
ORD000162;Set Pentole Inox;Casa & Arredamento;Cucina
ORD000164;Fumetto Tascabile;Libri & Media;Libri
ORD000164;Pigiama Comodo 2;Abbigliamento;Bambino
ORD000166;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000166;Vinile Collector;Libri & Media;Film & Musica
ORD000170;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000170;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000171;Antifurto Bici Mtb;Sport & Tempo Libero;Ciclismo
ORD000171;Fumetto Tascabile;Libri & Media;Libri
ORD000172;Auricolari Pro;Elettronica;Smartphone & Accessori
ORD000172;Soundbar Wireless;Elettronica;Audio & Video
ORD000172;Webcam Hd;Elettronica;Informatica
ORD000174;Foulard Basic;Abbigliamento;Donna
ORD000174;Fumetto Tascabile;Libri & Media;Libri
ORD000177;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000177;Vinile Collector;Libri & Media;Film & Musica
ORD000178;Borsa Bici Pro;Sport & Tempo Libero;Ciclismo
ORD000178;Kit Fai Da Te Collector;Libri & Media;Giochi & Hobby
ORD000178;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000180;Antifurto Bici Mtb;Sport & Tempo Libero;Ciclismo
ORD000180;Corda Per Saltare Adjustable;Sport & Tempo Libero;Fitness
ORD000190;Epilatore Basic;Bellezza & Salute;Cura Persona
ORD000190;Ssd Esterno Pro;Elettronica;Informatica
ORD000193;Felpa Casual;Abbigliamento;Uomo
ORD000193;Maglietta Basic;Abbigliamento;Uomo
ORD000194;Auricolari Pro;Elettronica;Smartphone & Accessori
ORD000194;Smartphone Air;Elettronica;Smartphone & Accessori
ORD000194;Speaker Bluetooth Surround;Elettronica;Audio & Video
ORD000195;Soundbar Wireless;Elettronica;Audio & Video
ORD000195;Tappeto Naturale;Casa & Arredamento;Decorazione
ORD000199;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000199;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000200;Foulard Casual;Abbigliamento;Donna
ORD000200;Smartphone Ultra;Elettronica;Smartphone & Accessori
ORD000201;Fumetto Tascabile;Libri & Media;Libri
ORD000201;Pantaloncino Estivo;Abbigliamento;Bambino
ORD000203;Maschera Relax Premium;Bellezza & Salute;Benessere
ORD000203;Puzzle Family;Libri & Media;Giochi & Hobby
ORD000203;Rossetto Matte;Bellezza & Salute;Make-up
ORD000204;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000204;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000205;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000205;Mascara Classic;Bellezza & Salute;Make-up
ORD000209;Epilatore Basic;Bellezza & Salute;Cura Persona
ORD000209;Manuale Tecnico Classico;Libri & Media;Libri
ORD000209;Maschera Relax Premium;Bellezza & Salute;Benessere
ORD000210;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000210;Peluche Kids;Libri & Media;Giochi & Hobby
ORD000211;Felpa Casual;Abbigliamento;Uomo
ORD000211;Felpa Comodo;Abbigliamento;Bambino
ORD000211;Soundbar Wireless;Elettronica;Audio & Video
ORD000212;Maschera Relax Premium;Bellezza & Salute;Benessere
ORD000212;Matita Occhi Long Lasting;Bellezza & Salute;Make-up
ORD000214;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000214;Soundbar Wireless;Elettronica;Audio & Video
ORD000222;Fumetto Tascabile;Libri & Media;Libri
ORD000222;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000225;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000225;Soundbar Wireless;Elettronica;Audio & Video
ORD000226;Foulard Casual;Abbigliamento;Donna
ORD000226;Maglietta Sportivo;Abbigliamento;Uomo
ORD000228;Blu-ray Deluxe;Libri & Media;Film & Musica
ORD000228;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000233;Blu-ray Nuovo;Libri & Media;Film & Musica
ORD000233;Manuale Tecnico Classico;Libri & Media;Libri
ORD000237;Macchina Caffè Inox;Casa & Arredamento;Cucina
ORD000237;Tappeto Naturale;Casa & Arredamento;Decorazione
ORD000238;Epilatore Basic 2;Bellezza & Salute;Cura Persona
ORD000238;Rasoio Elettrico Pro;Bellezza & Salute;Cura Persona
ORD000240;Blu-ray Collector;Libri & Media;Film & Musica
ORD000240;Manuale Tecnico Bestseller;Libri & Media;Libri
ORD000240;Romanzo Classico;Libri & Media;Libri
ORD000243;Mascara Classic;Bellezza & Salute;Make-up
ORD000243;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000243;Matita Occhi Long Lasting;Bellezza & Salute;Make-up
ORD000246;Fascia Cardio Pro;Sport & Tempo Libero;Fitness
ORD000246;Pompa Portatile Pro;Sport & Tempo Libero;Ciclismo
ORD000246;Rasoio Elettrico Pro;Bellezza & Salute;Cura Persona
ORD000246;Romanzo Classico;Libri & Media;Libri
ORD000247;Manuale Tecnico Classico;Libri & Media;Libri
ORD000247;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000251;Colonna Sonora Edizione Speciale;Libri & Media;Film & Musica
ORD000251;Soundbar Wireless;Elettronica;Audio & Video
ORD000252;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000252;Fumetto Tascabile;Libri & Media;Libri
ORD000252;Integratore Vitaminico Basic;Bellezza & Salute;Benessere
ORD000253;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000253;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000256;Fondotinta Classic;Bellezza & Salute;Make-up
ORD000256;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000256;Set Pentole Inox;Casa & Arredamento;Cucina
ORD000256;Tenda Naturale;Casa & Arredamento;Decorazione
ORD000257;Sedia Minimal;Casa & Arredamento;Arredo
ORD000257;Specchio Nordico;Casa & Arredamento;Arredo
ORD000257;Tappeto Naturale;Casa & Arredamento;Decorazione
ORD000260;Corda Per Saltare Adjustable;Sport & Tempo Libero;Fitness
ORD000260;Torcia Led Compact;Sport & Tempo Libero;Outdoor
ORD000261;Cover Ultra;Elettronica;Smartphone & Accessori
ORD000261;Smartphone Ultra;Elettronica;Smartphone & Accessori
ORD000261;Tenda Da Campeggio Basic;Sport & Tempo Libero;Outdoor
ORD000262;Soundbar Wireless;Elettronica;Audio & Video
ORD000262;Tappeto Naturale;Casa & Arredamento;Decorazione
ORD000263;Colonna Sonora Edizione Speciale;Libri & Media;Film & Musica
ORD000263;Epilatore Basic 2;Bellezza & Salute;Cura Persona
ORD000266;Colonna Sonora Edizione Speciale;Libri & Media;Film & Musica
ORD000266;Cover Lite;Elettronica;Smartphone & Accessori
ORD000269;Borsa Bici Pro;Sport & Tempo Libero;Ciclismo
ORD000269;Comodino Classico;Casa & Arredamento;Arredo
ORD000269;Corda Per Saltare Adjustable;Sport & Tempo Libero;Fitness
ORD000269;Tappetino Yoga Pro;Sport & Tempo Libero;Fitness
ORD000270;Rossetto Matte;Bellezza & Salute;Make-up
ORD000270;Soundbar Wireless;Elettronica;Audio & Video
ORD000272;Borraccia Termica Pro;Sport & Tempo Libero;Outdoor
ORD000272;Borraccia Termica Waterproof;Sport & Tempo Libero;Outdoor
ORD000272;Pompa Portatile Pro;Sport & Tempo Libero;Ciclismo
ORD000277;Blusa Chic;Abbigliamento;Donna
ORD000277;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000277;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000280;Borsa Bici Compact;Sport & Tempo Libero;Ciclismo
ORD000280;Fascia Cardio Pro;Sport & Tempo Libero;Fitness
ORD000280;Friggitrice Ad Aria Basic;Casa & Arredamento;Cucina
ORD000282;Colonna Sonora Edizione Speciale;Libri & Media;Film & Musica
ORD000282;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000282;Manuale Tecnico Bestseller;Libri & Media;Libri
ORD000283;Fumetto Tascabile;Libri & Media;Libri
ORD000283;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000287;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000287;Set Pentole Compact;Casa & Arredamento;Cucina
ORD000291;Asciugacapelli Travel;Bellezza & Salute;Cura Persona
ORD000291;Candela Profumata Elegante;Casa & Arredamento;Decorazione
ORD000291;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000291;Integratore Vitaminico Basic;Bellezza & Salute;Benessere
ORD000293;Manuale Tecnico Classico;Libri & Media;Libri
ORD000293;Romanzo Tascabile;Libri & Media;Libri
ORD000294;Blu-ray Collector;Libri & Media;Film & Musica
ORD000294;Vinile Collector;Libri & Media;Film & Musica
ORD000298;Borsa Bici Pro;Sport & Tempo Libero;Ciclismo
ORD000298;Casco Bici Basic;Sport & Tempo Libero;Ciclismo
ORD000298;Pompa Portatile Pro;Sport & Tempo Libero;Ciclismo
ORD000300;Carte Collezionabili Deluxe;Libri & Media;Giochi & Hobby
ORD000300;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000300;Rasoio Elettrico Pro;Bellezza & Salute;Cura Persona
ORD000301;Friggitrice Ad Aria Basic;Casa & Arredamento;Cucina
ORD000301;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000301;Specchio Vintage;Casa & Arredamento;Arredo
ORD000302;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000302;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000305;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000305;Tappeto Naturale;Casa & Arredamento;Decorazione
ORD000305;Vaso Elegante;Casa & Arredamento;Decorazione
ORD000311;Matita Occhi Long Lasting;Bellezza & Salute;Make-up
ORD000311;Rossetto Matte;Bellezza & Salute;Make-up
ORD000311;Soundbar Wireless;Elettronica;Audio & Video
ORD000312;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000312;T-shirt Colorato;Abbigliamento;Bambino
ORD000314;Saggio Illustrato;Libri & Media;Libri
ORD000314;Tappetino Yoga Pro;Sport & Tempo Libero;Fitness
ORD000315;Set Pentole Inox;Casa & Arredamento;Cucina
ORD000315;Vinile Collector;Libri & Media;Film & Musica
ORD000320;Borsa Bici Basic;Sport & Tempo Libero;Ciclismo
ORD000320;Gioco Da Tavolo Collector;Libri & Media;Giochi & Hobby
ORD000320;Libro Per Bambini Illustrato;Libri & Media;Libri
ORD000320;Puzzle Family;Libri & Media;Giochi & Hobby
ORD000321;Pellicola Protettiva Air;Elettronica;Smartphone & Accessori
ORD000321;Pellicola Protettiva Max;Elettronica;Smartphone & Accessori
ORD000322;Bastoncini Trekking Basic;Sport & Tempo Libero;Outdoor
ORD000322;Borraccia Termica Pro 2;Sport & Tempo Libero;Outdoor
ORD000324;Blu-ray Nuovo;Libri & Media;Film & Musica
ORD000324;Carte Collezionabili Deluxe 2;Libri & Media;Giochi & Hobby
ORD000324;Libro Per Bambini Illustrato 2;Libri & Media;Libri
ORD000328;Gioco Da Tavolo Collector;Libri & Media;Giochi & Hobby
ORD000328;Manuale Tecnico Bestseller;Libri & Media;Libri
ORD000328;Speaker Bluetooth Studio;Elettronica;Audio & Video
ORD000330;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000330;Set Pentole Compact 2;Casa & Arredamento;Cucina
ORD000332;Fumetto Tascabile;Libri & Media;Libri
ORD000332;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000332;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000334;Foulard Basic;Abbigliamento;Donna
ORD000334;Fumetto Tascabile;Libri & Media;Libri
ORD000334;Soundbar Wireless;Elettronica;Audio & Video
ORD000335;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000335;Soundbar Wireless;Elettronica;Audio & Video
ORD000336;Sedia Minimal;Casa & Arredamento;Arredo
ORD000336;Ssd Esterno Pro;Elettronica;Informatica
ORD000336;Tappeto Naturale;Casa & Arredamento;Decorazione
ORD000339;Felpa Casual;Abbigliamento;Uomo
ORD000339;Foulard Casual;Abbigliamento;Donna
ORD000339;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000339;T-shirt Colorato;Abbigliamento;Bambino
ORD000340;Carte Collezionabili Deluxe;Libri & Media;Giochi & Hobby
ORD000340;Fumetto Tascabile;Libri & Media;Libri
ORD000340;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000340;Webcam Hd;Elettronica;Informatica
ORD000342;Manubri Basic;Sport & Tempo Libero;Fitness
ORD000342;Manubri Premium;Sport & Tempo Libero;Fitness
ORD000344;Candela Profumata Elegante;Casa & Arredamento;Decorazione
ORD000344;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000345;Fumetto Tascabile;Libri & Media;Libri
ORD000345;Saggio Illustrato;Libri & Media;Libri
ORD000346;Fumetto Tascabile;Libri & Media;Libri
ORD000346;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000349;Foulard Casual;Abbigliamento;Donna
ORD000349;Specchio Nordico;Casa & Arredamento;Arredo
ORD000349;T-shirt Colorato;Abbigliamento;Bambino
ORD000351;Asciugacapelli Travel;Bellezza & Salute;Cura Persona
ORD000351;Mouse Wireless;Elettronica;Informatica
ORD000352;Candela Profumata Minimal;Casa & Arredamento;Decorazione
ORD000352;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000352;Giacca Slim Fit;Abbigliamento;Uomo
ORD000352;Sedia Minimal;Casa & Arredamento;Arredo
ORD000355;Borsa Bici Pro;Sport & Tempo Libero;Ciclismo
ORD000355;Tappeto Naturale;Casa & Arredamento;Decorazione
ORD000358;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000358;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000359;Auricolari Pro;Elettronica;Smartphone & Accessori
ORD000359;Ssd Esterno Compact;Elettronica;Informatica
ORD000361;Gonna Basic;Abbigliamento;Donna
ORD000361;Pigiama Comodo;Abbigliamento;Bambino
ORD000362;Bastoncini Trekking Basic;Sport & Tempo Libero;Outdoor
ORD000362;Casco Bici Basic;Sport & Tempo Libero;Ciclismo
ORD000363;Fumetto Tascabile;Libri & Media;Libri
