customer_key,cluster,segmento_nome,data_calcolo
181,1,Clienti stabili a ritmo irregolare,2026-08-25
182,3,Clienti emergenti ad alta regolarita,2026-08-25
183,2,Clienti fedeli di alto valore,2026-08-25
184,2,Clienti fedeli di alto valore,2026-08-25
185,2,Clienti fedeli di alto valore,2026-08-25
186,2,Clienti fedeli di alto valore,2026-08-25
187,1,Clienti stabili a ritmo irregolare,2026-08-25
188,2,Clienti fedeli di alto valore,2026-08-25
189,2,Clienti fedeli di alto valore,2026-08-25
190,2,Clienti fedeli di alto valore,2026-08-25
191,2,Clienti fedeli di alto valore,2026-08-25
192,2,Clienti fedeli di alto valore,2026-08-25
193,2,Clienti fedeli di alto valore,2026-08-25
194,2,Clienti fedeli di alto valore,2026-08-25
195,2,Clienti fedeli di alto valore,2026-08-25
196,0,Nuovi clienti in attivazione,2026-08-25
197,3,Clienti emergenti ad alta regolarita,2026-08-25
198,2,Clienti fedeli di alto valore,2026-08-25
199,1,Clienti stabili a ritmo irregolare,2026-08-25
200,1,Clienti stabili a ritmo irregolare,2026-08-25
201,2,Clienti fedeli di alto valore,2026-08-25
202,2,Clienti fedeli di alto valore,2026-08-25
203,2,Clienti fedeli di alto valore,2026-08-25
204,0,Nuovi clienti in attivazione,2026-08-25
205,3,Clienti emergenti ad alta regolarita,2026-08-25
206,3,Clienti emergenti ad alta regolarita,2026-08-25
207,2,Clienti fedeli di alto valore,2026-08-25
208,1,Clienti stabili a ritmo irregolare,2026-08-25
209,3,Clienti emergenti ad alta regolarita,2026-08-25
210,2,Clienti fedeli di alto valore,2026-08-25
211,1,Clienti stabili a ritmo irregolare,2026-08-25
212,1,Clienti stabili a ritmo irregolare,2026-08-25
213,1,Clienti stabili a ritmo irregolare,2026-08-25
214,1,Clienti stabili a ritmo irregolare,2026-08-25
215,2,Clienti fedeli di alto valore,2026-08-25
216,2,Clienti fedeli di alto valore,2026-08-25
217,2,Clienti fedeli di alto valore,2026-08-25
218,3,Clienti emergenti ad alta regolarita,2026-08-25
219,2,Clienti fedeli di alto valore,2026-08-25
220,1,Clienti stabili a ritmo irregolare,2026-08-25
221,1,Clienti stabili a ritmo irregolare,2026-08-25
222,1,Clienti stabili a ritmo irregolare,2026-08-25
223,2,Clienti fedeli di alto valore,2026-08-25
225,1,Clienti stabili a ritmo irregolare,2026-08-25
226,2,Clienti fedeli di alto valore,2026-08-25
227,2,Clienti fedeli di alto valore,2026-08-25
228,2,Clienti fedeli di alto valore,2026-08-25
229,1,Clienti stabili a ritmo irregolare,2026-08-25
230,2,Clienti fedeli di alto valore,2026-08-25
231,3,Clienti emergenti ad alta regolarita,2026-08-25
232,3,Clienti emergenti ad alta regolarita,2026-08-25
233,2,Clienti fedeli di alto valore,2026-08-25
234,2,Clienti fedeli di alto valore,2026-08-25
235,2,Clienti fedeli di alto valore,2026-08-25
236,2,Clienti fedeli di alto valore,2026-08-25
237,1,Clienti stabili a ritmo irregolare,2026-08-25
238,2,Clienti fedeli di alto valore,2026-08-25
239,3,Clienti emergenti ad alta regolarita,2026-08-25
240,1,Clienti stabili a ritmo irregolare,2026-08-25
241,1,Clienti stabili a ritmo irregolare,2026-08-25
242,2,Clienti fedeli di alto valore,2026-08-25
243,0,Nuovi clienti in attivazione,2026-08-25
245,3,Clienti emergenti ad alta regolarita,2026-08-25
246,1,Clienti stabili a ritmo irregolare,2026-08-25
247,1,Clienti stabili a ritmo irregolare,2026-08-25
248,1,Clienti stabili a ritmo irregolare,2026-08-25
249,2,Clienti fedeli di alto valore,2026-08-25
250,1,Clienti stabili a ritmo irregolare,2026-08-25
251,2,Clienti fedeli di alto valore,2026-08-25
252,1,Clienti stabili a ritmo irregolare,2026-08-25
253,2,Clienti fedeli di alto valore,2026-08-25
254,2,Clienti fedeli di alto valore,2026-08-25
255,3,Clienti emergenti ad alta regolarita,2026-08-25
256,1,Clienti stabili a ritmo irregolare,2026-08-25
257,1,Clienti stabili a ritmo irregolare,2026-08-25
258,2,Clienti fedeli di alto valore,2026-08-25
259,2,Clienti fedeli di alto valore,2026-08-25
260,2,Clienti fedeli di alto valore,2026-08-25
261,3,Clienti emergenti ad alta regolarita,2026-08-25
262,2,Clienti fedeli di alto valore,2026-08-25
263,2,Clienti fedeli di alto valore,2026-08-25
264,1,Clienti stabili a ritmo irregolare,2026-08-25
265,1,Clienti stabili a ritmo irregolare,2026-08-25
266,2,Clienti fedeli di alto valore,2026-08-25
267,3,Clienti emergenti ad alta regolarita,2026-08-25
268,2,Clienti fedeli di alto valore,2026-08-25
269,2,Clienti fedeli di alto valore,2026-08-25
271,0,Nuovi clienti in attivazione,2026-08-25
272,1,Clienti stabili a ritmo irregolare,2026-08-25
273,2,Clienti fedeli di alto valore,2026-08-25
274,2,Clienti fedeli di alto valore,2026-08-25
275,3,Clienti emergenti ad alta regolarita,2026-08-25
276,2,Clienti fedeli di alto valore,2026-08-25
277,3,Clienti emergenti ad alta regolarita,2026-08-25
278,1,Clienti stabili a ritmo irregolare,2026-08-25
279,2,Clienti fedeli di alto valore,2026-08-25
280,2,Clienti fedeli di alto valore,2026-08-25
281,3,Clienti emergenti ad alta regolarita,2026-08-25
282,1,Clienti stabili a ritmo irregolare,2026-08-25
283,3,Clienti emergenti ad alta regolarita,2026-08-25
284,1,Clienti stabili a ritmo irregolare,2026-08-25
285,3,Clienti emergenti ad alta regolarita,2026-08-25
286,3,Clienti emergenti ad alta regolarita,2026-08-25
287,1,Clienti stabili a ritmo irregolare,2026-08-25
288,2,Clienti fedeli di alto valore,2026-08-25
289,1,Clienti stabili a ritmo irregolare,2026-08-25
290,1,Clienti stabili a ritmo irregolare,2026-08-25
291,1,Clienti stabili a ritmo irregolare,2026-08-25
293,1,Clienti stabili a ritmo irregolare,2026-08-25
294,3,Clienti emergenti ad alta regolarita,2026-08-25
295,0,Nuovi clienti in attivazione,2026-08-25
296,1,Clienti stabili a ritmo irregolare,2026-08-25
297,3,Clienti emergenti ad alta regolarita,2026-08-25
298,2,Clienti fedeli di alto valore,2026-08-25
299,1,Clienti stabili a ritmo irregolare,2026-08-25
300,2,Clienti fedeli di alto valore,2026-08-25
301,2,Clienti fedeli di alto valore,2026-08-25
302,2,Clienti fedeli di alto valore,2026-08-25
303,2,Clienti fedeli di alto valore,2026-08-25
304,1,Clienti stabili a ritmo irregolare,2026-08-25
305,2,Clienti fedeli di alto valore,2026-08-25
306,1,Clienti stabili a ritmo irregolare,2026-08-25
307,2,Clienti fedeli di alto valore,2026-08-25
308,1,Clienti stabili a ritmo irregolare,2026-08-25
309,1,Clienti stabili a ritmo irregolare,2026-08-25
310,2,Clienti fedeli di alto valore,2026-08-25
311,2,Clienti fedeli di alto valore,2026-08-25
312,3,Clienti emergenti ad alta regolarita,2026-08-25
313,3,Clienti emergenti ad alta regolarita,2026-08-25
314,1,Clienti stabili a ritmo irregolare,2026-08-25
315,2,Clienti fedeli di alto valore,2026-08-25
316,3,Clienti emergenti ad alta regolarita,2026-08-25
317,2,Clienti fedeli di alto valore,2026-08-25
318,2,Clienti fedeli di alto valore,2026-08-25
319,3,Clienti emergenti ad alta regolarita,2026-08-25
320,3,Clienti emergenti ad alta regolarita,2026-08-25
321,2,Clienti fedeli di alto valore,2026-08-25
322,1,Clienti stabili a ritmo irregolare,2026-08-25
323,3,Clienti emergenti ad alta regolarita,2026-08-25
324,0,Nuovi clienti in attivazione,2026-08-25
325,3,Clienti emergenti ad alta regolarita,2026-08-25
326,1,Clienti stabili a ritmo irregolare,2026-08-25
327,1,Clienti stabili a ritmo irregolare,2026-08-25
328,2,Clienti fedeli di alto valore,2026-08-25
329,3,Clienti emergenti ad alta regolarita,2026-08-25
330,2,Clienti fedeli di alto valore,2026-08-25
331,3,Clienti emergenti ad alta regolarita,2026-08-25
332,3,Clienti emergenti ad alta regolarita,2026-08-25
333,1,Clienti stabili a ritmo irregolare,2026-08-25
334,2,Clienti fedeli di alto valore,2026-08-25
335,2,Clienti fedeli di alto valore,2026-08-25
336,1,Clienti stabili a ritmo irregolare,2026-08-25
337,2,Clienti fedeli di alto valore,2026-08-25
338,1,Clienti stabili a ritmo irregolare,2026-08-25
339,0,Nuovi clienti in attivazione,2026-08-25
340,1,Clienti stabili a ritmo irregolare,2026-08-25
341,1,Clienti stabili a ritmo irregolare,2026-08-25
342,2,Clienti fedeli di alto valore,2026-08-25
343,1,Clienti stabili a ritmo irregolare,2026-08-25
344,2,Clienti fedeli di alto valore,2026-08-25
345,2,Clienti fedeli di alto valore,2026-08-25
346,3,Clienti emergenti ad alta regolarita,2026-08-25
347,2,Clienti fedeli di alto valore,2026-08-25
348,1,Clienti stabili a ritmo irregolare,2026-08-25
349,1,Clienti stabili a ritmo irregolare,2026-08-25
350,2,Clienti fedeli di alto valore,2026-08-25
351,2,Clienti fedeli di alto valore,2026-08-25
352,3,Clienti emergenti ad alta regolarita,2026-08-25
353,3,Clienti emergenti ad alta regolarita,2026-08-25
354,1,Clienti stabili a ritmo irregolare,2026-08-25
355,0,Nuovi clienti in attivazione,2026-08-25
356,2,Clienti fedeli di alto valore,2026-08-25
357,1,Clienti stabili a ritmo irregolare,2026-08-25
358,1,Clienti stabili a ritmo irregolare,2026-08-25
359,3,Clienti emergenti ad alta regolarita,2026-08-25
360,2,Clienti fedeli di alto valore,2026-08-25
361,1,Clienti stabili a ritmo irregolare,2026-08-25
362,1,Clienti stabili a ritmo irregolare,2026-08-25
363,1,Clienti stabili a ritmo irregolare,2026-08-25
364,2,Clienti fedeli di alto valore,2026-08-25
365,1,Clienti stabili a ritmo irregolare,2026-08-25
366,1,Clienti stabili a ritmo irregolare,2026-08-25
367,1,Clienti stabili a ritmo irregolare,2026-08-25
368,1,Clienti stabili a ritmo irregolare,2026-08-25
369,3,Clienti emergenti ad alta regolarita,2026-08-25
370,3,Clienti emergenti ad alta regolarita,2026-08-25
371,0,Nuovi clienti in attivazione,2026-08-25
372,1,Clienti stabili a ritmo irregolare,2026-08-25
373,2,Clienti fedeli di alto valore,2026-08-25
374,1,Clienti stabili a ritmo irregolare,2026-08-25
375,3,Clienti emergenti ad alta regolarita,2026-08-25
376,1,Clienti stabili a ritmo irregolare,2026-08-25
377,1,Clienti stabili a ritmo irregolare,2026-08-25
378,2,Clienti fedeli di alto valore,2026-08-25
380,2,Clienti fedeli di alto valore,2026-08-25
381,0,Nuovi clienti in attivazione,2026-08-25
382,3,Clienti emergenti ad alta regolarita,2026-08-25
383,1,Clienti stabili a ritmo irregolare,2026-08-25
384,2,Clienti fedeli di alto valore,2026-08-25
385,1,Clienti stabili a ritmo irregolare,2026-08-25
386,3,Clienti emergenti ad alta regolarita,2026-08-25
387,1,Clienti stabili a ritmo irregolare,2026-08-25
388,1,Clienti stabili a ritmo irregolare,2026-08-25
389,1,Clienti stabili a ritmo irregolare,2026-08-25
390,3,Clienti emergenti ad alta regolarita,2026-08-25
391,2,Clienti fedeli di alto valore,2026-08-25
392,1,Clienti stabili a ritmo irregolare,2026-08-25
393,1,Clienti stabili a ritmo irregolare,2026-08-25
394,1,Clienti stabili a ritmo irregolare,2026-08-25
395,1,Clienti stabili a ritmo irregolare,2026-08-25
396,2,Clienti fedeli di alto valore,2026-08-25
397,1,Clienti stabili a ritmo irregolare,2026-08-25
398,3,Clienti emergenti ad alta regolarita,2026-08-25
399,3,Clienti emergenti ad alta regolarita,2026-08-25
400,3,Clienti emergenti ad alta regolarita,2026-08-25
401,3,Clienti emergenti ad alta regolarita,2026-08-25
402,2,Clienti fedeli di alto valore,2026-08-25
403,2,Clienti fedeli di alto valore,2026-08-25
404,2,Clienti fedeli di alto valore,2026-08-25
405,1,Clienti stabili a ritmo irregolare,2026-08-25
406,2,Clienti fedeli di alto valore,2026-08-25
407,1,Clienti stabili a ritmo irregolare,2026-08-25
408,1,Clienti stabili a ritmo irregolare,2026-08-25
409,1,Clienti stabili a ritmo irregolare,2026-08-25
410,2,Clienti fedeli di alto valore,2026-08-25
411,2,Clienti fedeli di alto valore,2026-08-25
412,2,Clienti fedeli di alto valore,2026-08-25
413,0,Nuovi clienti in attivazione,2026-08-25
414,1,Clienti stabili a ritmo irregolare,2026-08-25
415,3,Clienti emergenti ad alta regolarita,2026-08-25
416,3,Clienti emergenti ad alta regolarita,2026-08-25
417,3,Clienti emergenti ad alta regolarita,2026-08-25
418,1,Clienti stabili a ritmo irregolare,2026-08-25
419,2,Clienti fedeli di alto valore,2026-08-25
420,0,Nuovi clienti in attivazione,2026-08-25
421,1,Clienti stabili a ritmo irregolare,2026-08-25
422,3,Clienti emergenti ad alta regolarita,2026-08-25
423,3,Clienti emergenti ad alta regolarita,2026-08-25
424,1,Clienti stabili a ritmo irregolare,2026-08-25
425,3,Clienti emergenti ad alta regolarita,2026-08-25
426,3,Clienti emergenti ad alta regolarita,2026-08-25
427,2,Clienti fedeli di alto valore,2026-08-25
428,1,Clienti stabili a ritmo irregolare,2026-08-25
429,2,Clienti fedeli di alto valore,2026-08-25
430,3,Clienti emergenti ad alta regolarita,2026-08-25
431,3,Clienti emergenti ad alta regolarita,2026-08-25
432,2,Clienti fedeli di alto valore,2026-08-25
433,2,Clienti fedeli di alto valore,2026-08-25
434,1,Clienti stabili a ritmo irregolare,2026-08-25
435,3,Clienti emergenti ad alta regolarita,2026-08-25
436,2,Clienti fedeli di alto valore,2026-08-25
437,2,Clienti fedeli di alto valore,2026-08-25
438,1,Clienti stabili a ritmo irregolare,2026-08-25
439,2,Clienti fedeli di alto valore,2026-08-25
440,2,Clienti fedeli di alto valore,2026-08-25
441,2,Clienti fedeli di alto valore,2026-08-25
442,1,Clienti stabili a ritmo irregolare,2026-08-25
443,3,Clienti emergenti ad alta regolarita,2026-08-25
444,3,Clienti emergenti ad alta regolarita,2026-08-25
445,0,Nuovi clienti in attivazione,2026-08-25
446,2,Clienti fedeli di alto valore,2026-08-25
447,2,Clienti fedeli di alto valore,2026-08-25
448,2,Clienti fedeli di alto valore,2026-08-25
449,2,Clienti fedeli di alto valore,2026-08-25
450,1,Clienti stabili a ritmo irregolare,2026-08-25
451,2,Clienti fedeli di alto valore,2026-08-25
452,1,Clienti stabili a ritmo irregolare,2026-08-25
453,2,Clienti fedeli di alto valore,2026-08-25
454,1,Clienti stabili a ritmo irregolare,2026-08-25
455,3,Clienti emergenti ad alta regolarita,2026-08-25
456,2,Clienti fedeli di alto valore,2026-08-25
457,2,Clienti fedeli di alto valore,2026-08-25
458,2,Clienti fedeli di alto valore,2026-08-25
459,2,Clienti fedeli di alto valore,2026-08-25
460,1,Clienti stabili a ritmo irregolare,2026-08-25
461,2,Clienti fedeli di alto valore,2026-08-25
462,3,Clienti emergenti ad alta regolarita,2026-08-25
463,2,Clienti fedeli di alto valore,2026-08-25
464,1,Clienti stabili a ritmo irregolare,2026-08-25
465,1,Clienti stabili a ritmo irregolare,2026-08-25
466,1,Clienti stabili a ritmo irregolare,2026-08-25
467,2,Clienti fedeli di alto valore,2026-08-25
468,3,Clienti emergenti ad alta regolarita,2026-08-25
469,2,Clienti fedeli di alto valore,2026-08-25
470,1,Clienti stabili a ritmo irregolare,2026-08-25
471,2,Clienti fedeli di alto valore,2026-08-25
472,1,Clienti stabili a ritmo irregolare,2026-08-25
473,1,Clienti stabili a ritmo irregolare,2026-08-25
474,2,Clienti fedeli di alto valore,2026-08-25
475,3,Clienti emergenti ad alta regolarita,2026-08-25
476,2,Clienti fedeli di alto valore,2026-08-25
477,2,Clienti fedeli di alto valore,2026-08-25
478,3,Clienti emergenti ad alta regolarita,2026-08-25
479,2,Clienti fedeli di alto valore,2026-08-25
480,1,Clienti stabili a ritmo irregolare,2026-08-25
481,1,Clienti stabili a ritmo irregolare,2026-08-25
482,1,Clienti stabili a ritmo irregolare,2026-08-25
483,1,Clienti stabili a ritmo irregolare,2026-08-25
484,0,Nuovi clienti in attivazione,2026-08-25
485,2,Clienti fedeli di alto valore,2026-08-25
486,1,Clienti stabili a ritmo irregolare,2026-08-25
487,2,Clienti fedeli di alto valore,2026-08-25
488,2,Clienti fedeli di alto valore,2026-08-25
489,1,Clienti stabili a ritmo irregolare,2026-08-25
490,1,Clienti stabili a ritmo irregolare,2026-08-25
491,2,Clienti fedeli di alto valore,2026-08-25
492,0,Nuovi clienti in attivazione,2026-08-25
493,3,Clienti emergenti ad alta regolarita,2026-08-25
494,2,Clienti fedeli di alto valore,2026-08-25
495,3,Clienti emergenti ad alta regolarita,2026-08-25
496,1,Clienti stabili a ritmo irregolare,2026-08-25
497,3,Clienti emergenti ad alta regolarita,2026-08-25
498,3,Clienti emergenti ad alta regolarita,2026-08-25
499,2,Clienti fedeli di alto valore,2026-08-25
500,3,Clienti emergenti ad alta regolarita,2026-08-25
501,2,Clienti fedeli di alto valore,2026-08-25
502,1,Clienti stabili a ritmo irregolare,2026-08-25
503,1,Clienti stabili a ritmo irregolare,2026-08-25
504,1,Clienti stabili a ritmo irregolare,2026-08-25
505,1,Clienti stabili a ritmo irregolare,2026-08-25
506,1,Clienti stabili a ritmo irregolare,2026-08-25
507,3,Clienti emergenti ad alta regolarita,2026-08-25
508,1,Clienti stabili a ritmo irregolare,2026-08-25
509,2,Clienti fedeli di alto valore,2026-08-25
510,1,Clienti stabili a ritmo irregolare,2026-08-25
511,3,Clienti emergenti ad alta regolarita,2026-08-25
512,3,Clienti emergenti ad alta regolarita,2026-08-25
513,1,Clienti stabili a ritmo irregolare,2026-08-25
514,2,Clienti fedeli di alto valore,2026-08-25
515,2,Clienti fedeli di alto valore,2026-08-25
516,2,Clienti fedeli di alto valore,2026-08-25
517,2,Clienti fedeli di alto valore,2026-08-25
518,3,Clienti emergenti ad alta regolarita,2026-08-25
519,1,Clienti stabili a ritmo irregolare,2026-08-25
520,1,Clienti stabili a ritmo irregolare,2026-08-25
521,1,Clienti stabili a ritmo irregolare,2026-08-25
522,3,Clienti emergenti ad alta regolarita,2026-08-25
523,2,Clienti fedeli di alto valore,2026-08-25
524,1,Clienti stabili a ritmo irregolare,2026-08-25
525,0,Nuovi clienti in attivazione,2026-08-25
526,3,Clienti emergenti ad alta regolarita,2026-08-25
527,1,Clienti stabili a ritmo irregolare,2026-08-25
528,1,Clienti stabili a ritmo irregolare,2026-08-25
529,3,Clienti emergenti ad alta regolarita,2026-08-25
530,2,Clienti fedeli di alto valore,2026-08-25
531,1,Clienti stabili a ritmo irregolare,2026-08-25
532,1,Clienti stabili a ritmo irregolare,2026-08-25
533,2,Clienti fedeli di alto valore,2026-08-25
