product_code,data_rilevazione,quantita_disponibile
301001,2023-01-09,13
301001,2023-01-16,12
301001,2023-01-23,11
301001,2023-01-30,11
301001,2023-02-06,10
301001,2023-02-13,10
301001,2023-02-20,10
301001,2023-02-27,10
301001,2023-03-06,10
301001,2023-03-13,9
301001,2023-03-20,7
301001,2023-03-27,6
301001,2023-04-03,6
301001,2023-04-10,6
301001,2023-04-17,6
301001,2023-04-24,4
301001,2023-05-01,19
301001,2023-05-08,19
301001,2023-05-15,19
301001,2023-05-22,19
301001,2023-05-29,19
301001,2023-06-05,18
301001,2023-06-12,18
301001,2023-06-19,17
301001,2023-06-26,17
301001,2023-07-03,17
301001,2023-07-10,17
301001,2023-07-17,14
301001,2023-07-24,14
301001,2023-07-31,13
301001,2023-08-07,13
301001,2023-08-14,12
301001,2023-08-21,12
301001,2023-08-28,12
301001,2023-09-04,10
301001,2023-09-11,10
301001,2023-09-18,10
301001,2023-09-25,10
301001,2023-10-02,10
301001,2023-10-09,10
301001,2023-10-16,9
301001,2023-10-23,9
301001,2023-10-30,9
301001,2023-11-06,7
301001,2023-11-13,6
301001,2023-11-20,5
301001,2023-11-27,1
301001,2023-12-04,13
301001,2023-12-11,12
301001,2023-12-18,10
301001,2023-12-25,9
301001,2024-01-01,9
301001,2024-01-08,9
301001,2024-01-15,9
301001,2024-01-22,8
301001,2024-01-29,8
301001,2024-02-05,6
301001,2024-02-12,5
301001,2024-02-19,5
301001,2024-02-26,5
301001,2024-03-04,5
301001,2024-03-11,4
301001,2024-03-18,17
301001,2024-03-25,17
301001,2024-04-01,17
301001,2024-04-08,17
301001,2024-04-15,17
301001,2024-04-22,13
301001,2024-04-29,11
301001,2024-05-06,10
301001,2024-05-13,10
301001,2024-05-20,7
301001,2024-05-27,4
301001,2024-06-03,19
301001,2024-06-10,19
301001,2024-06-17,17
301001,2024-06-24,17
301001,2024-07-01,15
301001,2024-07-08,15
301001,2024-07-15,15
301001,2024-07-22,13
301001,2024-07-29,10
301001,2024-08-05,9
301001,2024-08-12,9
301001,2024-08-19,9
301001,2024-08-26,7
301001,2024-09-02,7
301001,2024-09-09,5
301001,2024-09-16,4
301001,2024-09-23,19
301001,2024-09-30,18
301001,2024-10-07,16
301001,2024-10-14,13
301001,2024-10-21,13
301001,2024-10-28,12
301001,2024-11-04,12
301001,2024-11-11,12
301001,2024-11-18,9
301001,2024-11-25,7
301001,2024-12-02,7
301001,2024-12-09,7
301001,2024-12-16,6
301001,2024-12-23,6
301001,2024-12-30,6
301001,2025-01-06,5
301001,2025-01-13,5
301001,2025-01-20,5
301001,2025-01-27,0
301001,2025-02-03,10
301001,2025-02-10,9
301001,2025-02-17,8
301001,2025-02-24,6
301001,2025-03-03,0
301001,2025-03-10,14
301001,2025-03-17,12
301001,2025-03-24,10
301001,2025-03-31,9
301001,2025-04-07,6
301001,2025-04-14,5
301001,2025-04-21,4
301001,2025-04-28,19
301001,2025-05-05,14
301001,2025-05-12,5
301001,2025-05-19,2
301001,2025-05-26,16
301001,2025-06-02,15
301001,2025-06-09,14
301001,2025-06-16,14
301001,2025-06-23,14
301001,2025-06-30,13
301001,2025-07-07,12
301001,2025-07-14,8
301001,2025-07-21,7
301001,2025-07-28,5
301001,2025-08-04,2
301001,2025-08-11,17
301001,2025-08-18,15
301001,2025-08-25,15
301001,2025-09-01,14
301001,2025-09-08,12
301001,2025-09-15,8
301001,2025-09-22,7
301001,2025-09-29,7
301001,2025-10-06,4
301001,2025-10-13,19
301001,2025-10-20,18
301001,2025-10-27,14
301001,2025-11-03,10
301001,2025-11-10,9
301001,2025-11-17,6
301001,2025-11-24,1
301001,2025-12-01,12
301001,2025-12-08,9
301001,2025-12-15,8
301001,2025-12-22,6
301001,2025-12-29,6
103006,2023-01-02,15
103006,2023-01-09,15
103006,2023-01-16,15
103006,2023-01-23,14
103006,2023-01-30,14
103006,2023-02-06,11
103006,2023-02-13,10
103006,2023-02-20,10
103006,2023-02-27,9
103006,2023-03-06,9
103006,2023-03-13,9
103006,2023-03-20,9
103006,2023-03-27,9
103006,2023-04-03,8
103006,2023-04-10,7
103006,2023-04-17,7
103006,2023-04-24,6
103006,2023-05-01,5
103006,2023-05-08,5
103006,2023-05-15,3
103006,2023-05-22,17
103006,2023-05-29,17
103006,2023-06-05,15
103006,2023-06-12,15
103006,2023-06-19,15
103006,2023-06-26,15
103006,2023-07-03,14
103006,2023-07-10,14
103006,2023-07-17,14
103006,2023-07-24,14
103006,2023-07-31,14
103006,2023-08-07,14
103006,2023-08-14,14
103006,2023-08-21,13
103006,2023-08-28,10
103006,2023-09-04,10
103006,2023-09-11,8
103006,2023-09-18,8
103006,2023-09-25,7
103006,2023-10-02,7
103006,2023-10-09,6
103006,2023-10-16,6
103006,2023-10-23,6
103006,2023-10-30,5
103006,2023-11-06,5
103006,2023-11-13,5
103006,2023-11-20,4
103006,2023-11-27,16
103006,2023-12-04,16
103006,2023-12-11,15
103006,2023-12-18,13
103006,2023-12-25,13
103006,2024-01-01,13
103006,2024-01-08,11
103006,2024-01-15,9
103006,2024-01-22,8
103006,2024-01-29,8
103006,2024-02-05,8
103006,2024-02-12,8
103006,2024-02-19,8
103006,2024-02-26,8
103006,2024-03-04,8
103006,2024-03-11,8
103006,2024-03-18,7
103006,2024-03-25,6
103006,2024-04-01,6
103006,2024-04-08,6
103006,2024-04-15,4
103006,2024-04-22,18
103006,2024-04-29,15
103006,2024-05-06,13
103006,2024-05-13,12
103006,2024-05-20,12
103006,2024-05-27,12
103006,2024-06-03,12
103006,2024-06-10,11
103006,2024-06-17,11
103006,2024-06-24,6
103006,2024-07-01,6
103006,2024-07-08,5
103006,2024-07-15,5
103006,2024-07-22,0
103006,2024-07-29,15
103006,2024-08-05,15
103006,2024-08-12,13
103006,2024-08-19,13
103006,2024-08-26,13
103006,2024-09-02,13
103006,2024-09-09,12
103006,2024-09-16,12
103006,2024-09-23,9
103006,2024-09-30,7
103006,2024-10-07,7
103006,2024-10-14,6
103006,2024-10-21,6
103006,2024-10-28,6
103006,2024-11-04,5
103006,2024-11-11,4
103006,2024-11-18,15
103006,2024-11-25,12
103006,2024-12-02,10
103006,2024-12-09,10
103006,2024-12-16,7
103006,2024-12-23,5
103006,2024-12-30,1
103006,2025-01-06,14
103006,2025-01-13,11
103006,2025-01-20,10
103006,2025-01-27,9
103006,2025-02-03,6
103006,2025-02-10,4
103006,2025-02-17,19
103006,2025-02-24,18
103006,2025-03-03,17
103006,2025-03-10,17
103006,2025-03-17,17
103006,2025-03-24,14
103006,2025-03-31,14
103006,2025-04-07,10
103006,2025-04-14,10
103006,2025-04-21,8
103006,2025-04-28,8
103006,2025-05-05,8
103006,2025-05-12,7
103006,2025-05-19,7
103006,2025-05-26,6
103006,2025-06-02,2
103006,2025-06-09,12
103006,2025-06-16,6
103006,2025-06-23,3
103006,2025-06-30,15
103006,2025-07-07,14
103006,2025-07-14,12
103006,2025-07-21,11
103006,2025-07-28,11
103006,2025-08-04,11
103006,2025-08-11,11
103006,2025-08-18,7
103006,2025-08-25,5
103006,2025-09-01,4
103006,2025-09-08,16
103006,2025-09-15,11
103006,2025-09-22,8
103006,2025-09-29,6
103006,2025-10-06,2
103006,2025-10-13,16
103006,2025-10-20,15
103006,2025-10-27,13
103006,2025-11-03,11
103006,2025-11-10,4
103006,2025-11-17,18
103006,2025-11-24,14
103006,2025-12-01,13
103006,2025-12-08,13
103006,2025-12-15,11
103006,2025-12-22,8
103006,2025-12-29,8
202005,2023-01-02,13
202005,2023-01-09,13
202005,2023-01-16,13
202005,2023-01-23,13
202005,2023-01-30,13
202005,2023-02-06,13
202005,2023-02-13,13
202005,2023-02-20,9
202005,2023-02-27,9
202005,2023-03-06,8
202005,2023-03-13,8
202005,2023-03-20,8
202005,2023-03-27,8
202005,2023-04-03,6
202005,2023-04-10,5
202005,2023-04-17,21
202005,2023-04-24,19
202005,2023-05-01,19
202005,2023-05-08,19
202005,2023-05-15,19
202005,2023-05-22,19
202005,2023-05-29,19
202005,2023-06-05,19
202005,2023-06-12,18
202005,2023-06-19,18
202005,2023-06-26,18
202005,2023-07-03,17
202005,2023-07-10,17
202005,2023-07-17,16
202005,2023-07-24,13
202005,2023-07-31,11
202005,2023-08-07,10
202005,2023-08-14,6
202005,2023-08-21,6
202005,2023-08-28,6
202005,2023-09-04,6
202005,2023-09-11,5
202005,2023-09-18,21
202005,2023-09-25,21
202005,2023-10-02,18
202005,2023-10-09,18
202005,2023-10-16,18
202005,2023-10-23,18
202005,2023-10-30,18
202005,2023-11-06,18
202005,2023-11-13,14
202005,2023-11-20,14
202005,2023-11-27,14
202005,2023-12-04,13
202005,2023-12-11,13
202005,2023-12-18,9
202005,2023-12-25,8
202005,2024-01-01,8
202005,2024-01-08,7
202005,2024-01-15,2
202005,2024-01-22,16
202005,2024-01-29,16
202005,2024-02-05,14
202005,2024-02-12,14
202005,2024-02-19,14
202005,2024-02-26,14
202005,2024-03-04,14
202005,2024-03-11,11
202005,2024-03-18,11
202005,2024-03-25,9
202005,2024-04-01,9
202005,2024-04-08,9
202005,2024-04-15,8
202005,2024-04-22,4
202005,2024-04-29,20
202005,2024-05-06,20
202005,2024-05-13,18
202005,2024-05-20,17
202005,2024-05-27,16
202005,2024-06-03,13
202005,2024-06-10,13
202005,2024-06-17,13
202005,2024-06-24,13
202005,2024-07-01,13
202005,2024-07-08,10
202005,2024-07-15,10
202005,2024-07-22,10
202005,2024-07-29,10
202005,2024-08-05,9
202005,2024-08-12,9
202005,2024-08-19,8
202005,2024-08-26,8
202005,2024-09-02,5
202005,2024-09-09,21
202005,2024-09-16,21
202005,2024-09-23,20
202005,2024-09-30,18
202005,2024-10-07,17
202005,2024-10-14,17
202005,2024-10-21,16
202005,2024-10-28,15
202005,2024-11-04,11
202005,2024-11-11,11
202005,2024-11-18,8
202005,2024-11-25,6
202005,2024-12-02,5
202005,2024-12-09,20
202005,2024-12-16,19
202005,2024-12-23,17
202005,2024-12-30,17
202005,2025-01-06,13
202005,2025-01-13,8
202005,2025-01-20,8
202005,2025-01-27,4
202005,2025-02-03,20
202005,2025-02-10,20
202005,2025-02-17,20
202005,2025-02-24,19
202005,2025-03-03,13
202005,2025-03-10,6
202005,2025-03-17,6
202005,2025-03-24,5
202005,2025-03-31,20
202005,2025-04-07,17
202005,2025-04-14,16
202005,2025-04-21,15
202005,2025-04-28,14
202005,2025-05-05,14
202005,2025-05-12,13
202005,2025-05-19,12
202005,2025-05-26,7
202005,2025-06-02,4
202005,2025-06-09,20
202005,2025-06-16,17
202005,2025-06-23,17
202005,2025-06-30,17
202005,2025-07-07,15
202005,2025-07-14,14
202005,2025-07-21,11
202005,2025-07-28,10
202005,2025-08-04,9
202005,2025-08-11,6
202005,2025-08-18,6
202005,2025-08-25,5
202005,2025-09-01,20
202005,2025-09-08,17
202005,2025-09-15,14
202005,2025-09-22,14
202005,2025-09-29,13
202005,2025-10-06,9
202005,2025-10-13,9
202005,2025-10-20,9
202005,2025-10-27,9
202005,2025-11-03,9
202005,2025-11-10,3
202005,2025-11-17,16
202005,2025-11-24,13
202005,2025-12-01,11
202005,2025-12-08,11
202005,2025-12-15,10
202005,2025-12-22,7
202005,2025-12-29,6
602002,2023-01-02,21
602002,2023-01-09,21
602002,2023-01-16,21
602002,2023-01-23,21
602002,2023-01-30,21
602002,2023-02-06,17
602002,2023-02-13,14
602002,2023-02-20,14
602002,2023-02-27,14
602002,2023-03-06,14
602002,2023-03-13,14
602002,2023-03-20,13
602002,2023-03-27,13
602002,2023-04-03,13
602002,2023-04-10,13
602002,2023-04-17,13
602002,2023-04-24,11
602002,2023-05-01,11
602002,2023-05-08,11
602002,2023-05-15,11
602002,2023-05-22,10
602002,2023-05-29,8
602002,2023-06-05,5
602002,2023-06-12,22
602002,2023-06-19,22
602002,2023-06-26,22
602002,2023-07-03,21
602002,2023-07-10,20
602002,2023-07-17,20
602002,2023-07-24,20
602002,2023-07-31,20
602002,2023-08-07,19
602002,2023-08-14,19
602002,2023-08-21,19
602002,2023-08-28,19
602002,2023-09-04,18
602002,2023-09-11,16
602002,2023-09-18,15
602002,2023-09-25,13
602002,2023-10-02,13
602002,2023-10-09,12
602002,2023-10-16,12
602002,2023-10-23,11
602002,2023-10-30,11
602002,2023-11-06,8
602002,2023-11-13,5
602002,2023-11-20,21
602002,2023-11-27,18
602002,2023-12-04,15
602002,2023-12-11,10
602002,2023-12-18,10
602002,2023-12-25,9
602002,2024-01-01,9
602002,2024-01-08,7
602002,2024-01-15,4
602002,2024-01-22,21
602002,2024-01-29,21
602002,2024-02-05,21
602002,2024-02-12,19
602002,2024-02-19,17
602002,2024-02-26,16
602002,2024-03-04,15
602002,2024-03-11,14
602002,2024-03-18,12
602002,2024-03-25,12
602002,2024-04-01,8
602002,2024-04-08,8
602002,2024-04-15,8
602002,2024-04-22,4
602002,2024-04-29,19
602002,2024-05-06,18
602002,2024-05-13,18
602002,2024-05-20,15
602002,2024-05-27,13
602002,2024-06-03,11
602002,2024-06-10,11
602002,2024-06-17,8
602002,2024-06-24,8
602002,2024-07-01,8
602002,2024-07-08,6
602002,2024-07-15,5
602002,2024-07-22,20
602002,2024-07-29,19
602002,2024-08-05,13
602002,2024-08-12,10
602002,2024-08-19,10
602002,2024-08-26,10
602002,2024-09-02,9
602002,2024-09-09,7
602002,2024-09-16,6
602002,2024-09-23,6
602002,2024-09-30,3
602002,2024-10-07,17
602002,2024-10-14,10
602002,2024-10-21,7
602002,2024-10-28,7
602002,2024-11-04,6
602002,2024-11-11,0
602002,2024-11-18,8
602002,2024-11-25,4
602002,2024-12-02,21
602002,2024-12-09,19
602002,2024-12-16,15
602002,2024-12-23,11
602002,2024-12-30,9
602002,2025-01-06,9
602002,2025-01-13,9
602002,2025-01-20,9
602002,2025-01-27,6
602002,2025-02-03,6
602002,2025-02-10,3
602002,2025-02-17,20
602002,2025-02-24,16
602002,2025-03-03,16
602002,2025-03-10,16
602002,2025-03-17,15
602002,2025-03-24,8
602002,2025-03-31,7
602002,2025-04-07,6
602002,2025-04-14,6
602002,2025-04-21,6
602002,2025-04-28,6
602002,2025-05-05,5
602002,2025-05-12,21
602002,2025-05-19,17
602002,2025-05-26,16
602002,2025-06-02,16
602002,2025-06-09,14
602002,2025-06-16,14
602002,2025-06-23,13
602002,2025-06-30,12
602002,2025-07-07,10
602002,2025-07-14,8
602002,2025-07-21,7
602002,2025-07-28,7
602002,2025-08-04,3
602002,2025-08-11,18
602002,2025-08-18,16
602002,2025-08-25,15
602002,2025-09-01,13
602002,2025-09-08,13
602002,2025-09-15,13
602002,2025-09-22,9
602002,2025-09-29,8
602002,2025-10-06,8
602002,2025-10-13,6
602002,2025-10-20,5
602002,2025-10-27,17
602002,2025-11-03,17
602002,2025-11-10,16
602002,2025-11-17,13
602002,2025-11-24,13
602002,2025-12-01,5
602002,2025-12-08,22
602002,2025-12-15,20
602002,2025-12-22,19
602002,2025-12-29,19
303003,2023-01-02,22
303003,2023-01-09,22
303003,2023-01-16,22
303003,2023-01-23,22
303003,2023-01-30,22
303003,2023-02-06,21
303003,2023-02-13,19
303003,2023-02-20,18
303003,2023-02-27,18
303003,2023-03-06,18
303003,2023-03-13,17
303003,2023-03-20,16
303003,2023-03-27,16
303003,2023-04-03,16
303003,2023-04-10,15
303003,2023-04-17,15
303003,2023-04-24,15
303003,2023-05-01,15
303003,2023-05-08,15
303003,2023-05-15,15
303003,2023-05-22,15
303003,2023-05-29,15
303003,2023-06-05,11
303003,2023-06-12,11
303003,2023-06-19,11
303003,2023-06-26,11
303003,2023-07-03,10
303003,2023-07-10,10
303003,2023-07-17,8
303003,2023-07-24,7
303003,2023-07-31,4
303003,2023-08-07,20
303003,2023-08-14,20
303003,2023-08-21,18
303003,2023-08-28,15
303003,2023-09-04,13
303003,2023-09-11,13
303003,2023-09-18,11
303003,2023-09-25,10
303003,2023-10-02,9
303003,2023-10-09,9
303003,2023-10-16,9
303003,2023-10-23,9
303003,2023-10-30,9
303003,2023-11-06,9
303003,2023-11-13,4
303003,2023-11-20,18
303003,2023-11-27,18
303003,2023-12-04,18
303003,2023-12-11,14
303003,2023-12-18,12
303003,2023-12-25,12
303003,2024-01-01,11
303003,2024-01-08,10
303003,2024-01-15,10
303003,2024-01-22,10
303003,2024-01-29,10
303003,2024-02-05,10
303003,2024-02-12,10
303003,2024-02-19,7
303003,2024-02-26,7
303003,2024-03-04,5
303003,2024-03-11,22
303003,2024-03-18,21
303003,2024-03-25,20
303003,2024-04-01,20
303003,2024-04-08,17
303003,2024-04-15,15
303003,2024-04-22,14
303003,2024-04-29,14
303003,2024-05-06,13
303003,2024-05-13,11
303003,2024-05-20,8
303003,2024-05-27,8
303003,2024-06-03,8
303003,2024-06-10,8
303003,2024-06-17,8
303003,2024-06-24,8
303003,2024-07-01,7
303003,2024-07-08,7
303003,2024-07-15,7
303003,2024-07-22,6
303003,2024-07-29,1
303003,2024-08-05,18
303003,2024-08-12,18
303003,2024-08-19,18
303003,2024-08-26,15
303003,2024-09-02,15
303003,2024-09-09,11
303003,2024-09-16,8
303003,2024-09-23,7
303003,2024-09-30,2
303003,2024-10-07,14
303003,2024-10-14,12
303003,2024-10-21,9
303003,2024-10-28,9
303003,2024-11-04,9
303003,2024-11-11,6
303003,2024-11-18,5
303003,2024-11-25,22
303003,2024-12-02,22
303003,2024-12-09,22
303003,2024-12-16,21
303003,2024-12-23,18
303003,2024-12-30,18
303003,2025-01-06,15
303003,2025-01-13,13
303003,2025-01-20,11
303003,2025-01-27,11
303003,2025-02-03,9
303003,2025-02-10,6
303003,2025-02-17,6
303003,2025-02-24,3
303003,2025-03-03,19
303003,2025-03-10,18
303003,2025-03-17,17
303003,2025-03-24,17
303003,2025-03-31,14
303003,2025-04-07,12
303003,2025-04-14,12
303003,2025-04-21,12
303003,2025-04-28,9
303003,2025-05-05,5
303003,2025-05-12,17
303003,2025-05-19,12
303003,2025-05-26,10
303003,2025-06-02,7
303003,2025-06-09,7
303003,2025-06-16,6
303003,2025-06-23,6
303003,2025-06-30,5
303003,2025-07-07,17
303003,2025-07-14,12
303003,2025-07-21,7
303003,2025-07-28,6
303003,2025-08-04,5
303003,2025-08-11,22
303003,2025-08-18,19
303003,2025-08-25,19
303003,2025-09-01,18
303003,2025-09-08,15
303003,2025-09-15,14
303003,2025-09-22,13
303003,2025-09-29,10
303003,2025-10-06,10
303003,2025-10-13,7
303003,2025-10-20,7
303003,2025-10-27,4
303003,2025-11-03,18
303003,2025-11-10,12
303003,2025-11-17,10
303003,2025-11-24,2
303003,2025-12-01,19
303003,2025-12-08,12
303003,2025-12-15,10
303003,2025-12-22,8
303003,2025-12-29,8
402001,2023-01-02,21
402001,2023-01-09,21
402001,2023-01-16,20
402001,2023-01-23,20
402001,2023-01-30,20
402001,2023-02-06,19
402001,2023-02-13,19
402001,2023-02-20,17
402001,2023-02-27,17
402001,2023-03-06,17
402001,2023-03-13,16
402001,2023-03-20,16
402001,2023-03-27,16
402001,2023-04-03,16
402001,2023-04-10,13
402001,2023-04-17,12
402001,2023-04-24,12
402001,2023-05-01,11
402001,2023-05-08,11
402001,2023-05-15,9
402001,2023-05-22,7
402001,2023-05-29,7
402001,2023-06-05,7
402001,2023-06-12,7
402001,2023-06-19,5
402001,2023-06-26,20
402001,2023-07-03,19
402001,2023-07-10,19
402001,2023-07-17,19
402001,2023-07-24,19
402001,2023-07-31,18
402001,2023-08-07,18
402001,2023-08-14,18
402001,2023-08-21,16
402001,2023-08-28,16
402001,2023-09-04,15
402001,2023-09-11,13
402001,2023-09-18,12
402001,2023-09-25,11
402001,2023-10-02,11
402001,2023-10-09,7
402001,2023-10-16,3
402001,2023-10-23,18
402001,2023-10-30,15
402001,2023-11-06,13
402001,2023-11-13,10
402001,2023-11-20,8
402001,2023-11-27,8
402001,2023-12-04,8
402001,2023-12-11,8
402001,2023-12-18,8
402001,2023-12-25,4
402001,2024-01-01,19
402001,2024-01-08,19
402001,2024-01-15,18
402001,2024-01-22,18
402001,2024-01-29,18
402001,2024-02-05,17
402001,2024-02-12,16
402001,2024-02-19,16
402001,2024-02-26,16
402001,2024-03-04,16
402001,2024-03-11,16
402001,2024-03-18,15
402001,2024-03-25,12
402001,2024-04-01,11
402001,2024-04-08,11
402001,2024-04-15,10
402001,2024-04-22,10
402001,2024-04-29,10
402001,2024-05-06,6
402001,2024-05-13,6
402001,2024-05-20,6
402001,2024-05-27,6
402001,2024-06-03,4
402001,2024-06-10,18
402001,2024-06-17,17
402001,2024-06-24,14
402001,2024-07-01,14
402001,2024-07-08,13
402001,2024-07-15,12
402001,2024-07-22,12
402001,2024-07-29,12
402001,2024-08-05,11
402001,2024-08-12,11
402001,2024-08-19,8
402001,2024-08-26,8
402001,2024-09-02,8
402001,2024-09-09,3
402001,2024-09-16,17
402001,2024-09-23,17
402001,2024-09-30,13
402001,2024-10-07,11
402001,2024-10-14,11
402001,2024-10-21,9
402001,2024-10-28,9
402001,2024-11-04,8
402001,2024-11-11,5
402001,2024-11-18,18
402001,2024-11-25,18
402001,2024-12-02,17
402001,2024-12-09,14
402001,2024-12-16,11
402001,2024-12-23,4
402001,2024-12-30,16
402001,2025-01-06,15
402001,2025-01-13,15
402001,2025-01-20,14
402001,2025-01-27,12
402001,2025-02-03,6
402001,2025-02-10,6
402001,2025-02-17,6
402001,2025-02-24,6
402001,2025-03-03,4
402001,2025-03-10,17
402001,2025-03-17,17
402001,2025-03-24,17
402001,2025-03-31,17
402001,2025-04-07,15
402001,2025-04-14,11
402001,2025-04-21,11
402001,2025-04-28,8
402001,2025-05-05,8
402001,2025-05-12,8
402001,2025-05-19,7
402001,2025-05-26,6
402001,2025-06-02,5
402001,2025-06-09,19
402001,2025-06-16,15
402001,2025-06-23,13
402001,2025-06-30,10
402001,2025-07-07,8
402001,2025-07-14,8
402001,2025-07-21,6
402001,2025-07-28,6
402001,2025-08-04,3
402001,2025-08-11,14
402001,2025-08-18,14
402001,2025-08-25,14
402001,2025-09-01,12
402001,2025-09-08,9
402001,2025-09-15,8
402001,2025-09-22,6
402001,2025-09-29,4
402001,2025-10-06,18
402001,2025-10-13,15
402001,2025-10-20,14
402001,2025-10-27,12
402001,2025-11-03,12
402001,2025-11-10,9
402001,2025-11-17,6
402001,2025-11-24,2
402001,2025-12-01,10
402001,2025-12-08,10
402001,2025-12-15,9
402001,2025-12-22,7
402001,2025-12-29,7
503007,2023-01-02,81
503007,2023-01-09,80
503007,2023-01-16,70
503007,2023-01-23,61
503007,2023-01-30,52
503007,2023-02-06,51
503007,2023-02-13,42
503007,2023-02-20,34
503007,2023-02-27,128
503007,2023-03-06,119
503007,2023-03-13,115
503007,2023-03-20,107
503007,2023-03-27,100
503007,2023-04-03,88
503007,2023-04-10,80
503007,2023-04-17,77
503007,2023-04-24,60
503007,2023-05-01,56
503007,2023-05-08,43
503007,2023-05-15,38
503007,2023-05-22,29
503007,2023-05-29,122
503007,2023-06-05,113
503007,2023-06-12,103
503007,2023-06-19,91
503007,2023-06-26,85
503007,2023-07-03,82
503007,2023-07-10,76
503007,2023-07-17,67
503007,2023-07-24,62
503007,2023-07-31,54
503007,2023-08-07,46
503007,2023-08-14,42
503007,2023-08-21,31
503007,2023-08-28,125
503007,2023-09-04,119
503007,2023-09-11,108
503007,2023-09-18,98
503007,2023-09-25,84
503007,2023-10-02,78
503007,2023-10-09,77
503007,2023-10-16,75
503007,2023-10-23,71
503007,2023-10-30,62
503007,2023-11-06,44
503007,2023-11-13,26
503007,2023-11-20,107
503007,2023-11-27,85
503007,2023-12-04,75
503007,2023-12-11,63
503007,2023-12-18,51
503007,2023-12-25,30
503007,2024-01-01,115
503007,2024-01-08,100
503007,2024-01-15,91
503007,2024-01-22,88
503007,2024-01-29,69
503007,2024-02-05,53
503007,2024-02-12,28
503007,2024-02-19,112
503007,2024-02-26,96
503007,2024-03-04,92
503007,2024-03-11,90
503007,2024-03-18,85
